alpha,CL,CD,CM,CL_ATT,CL_SEP,F_ST,CL_CD
-3.5,-0.1431,0.00817,-0.0523,-0.145354,-0.072392,0.969104,-17.51529987760098
-3.0,-0.0881,0.00791,-0.0521,-0.089591,-0.044607,0.966862,-11.1378002528445
-2.5,-0.0328,0.00778,-0.0519,-0.033827,-0.016782,0.939741,-4.215938303341903
-2.0,0.0217,0.00767,-0.0516,0.021936,0.010938,0.978501,2.8292046936114734
-1.5,0.0777,0.00757,-0.0515,0.0777,0.03885,1.0,10.264200792602377
-1.0,0.1325,0.00748,-0.0513,0.133464,0.066611,0.985587,17.71390374331551
-0.5,0.1881,0.00741,-0.0512,0.189227,0.094472,0.988105,25.384615384615383
0.0,0.2429,0.00736,-0.0509,0.244991,0.122232,0.982969,33.002717391304344
0.5,0.2982,0.00724,-0.0508,0.300754,0.150056,0.983051,41.187845303867405
1.0,0.3525,0.00712,-0.0505,0.356518,0.177752,0.977525,49.508426966292134
1.5,0.4076,0.00713,-0.0503,0.412281,0.20555,0.977355,57.166900420757365
2.0,0.4624,0.00706,-0.05,0.468045,0.23331,0.975952,65.4957507082153
2.5,0.5155,0.00719,-0.0494,0.523808,0.260853,0.968404,71.69680111265646
3.0,0.5695,0.0072,-0.0489,0.579572,0.28851,0.965396,79.09722222222223
3.5,0.62,0.0074,-0.0476,0.635336,0.315715,0.95202,83.78378378378378
4.0,0.67,0.00772,-0.0463,0.691099,0.34285,0.939414,86.78756476683938
4.5,0.7222,0.00806,-0.0454,0.746863,0.37027,0.934511,89.6029776674938
5.0,0.7849,0.00857,-0.047,0.802626,0.39906,0.956076,91.58693115519254
5.5,0.8422,0.00954,-0.048,0.85839,0.427142,0.962458,88.28092243186582
6.0,0.9053,0.01016,-0.0501,0.914153,0.455962,0.980678,89.10433070866141
6.5,0.9532,0.01067,-0.0487,0.969917,0.482841,0.965679,89.33458294283037
7.0,0.9946,0.01131,-0.0461,1.02568,0.508865,0.939862,87.93987621573828
7.5,1.0398,0.01184,-0.0443,1.081444,0.535361,0.923741,87.82094594594595
8.0,1.0834,0.01252,-0.0422,1.137208,0.561629,0.906516,86.53354632587859
8.5,1.1273,0.0132,-0.0403,1.192971,0.587921,0.891462,85.40151515151516
9.0,1.1694,0.01396,-0.0382,1.248735,0.613951,0.875021,83.76790830945559
9.5,1.2127,0.01458,-0.0363,1.304498,0.640131,0.861826,83.1755829903978
10.0,1.2535,0.01524,-0.034,1.360262,0.665945,0.846235,82.250656167979
10.5,1.2874,0.01606,-0.0306,1.416025,0.690749,0.822653,80.16189290161893
11.0,1.3184,0.01707,-0.0269,1.471789,0.715079,0.797295,77.2349150556532
11.5,1.3498,0.01808,-0.0236,1.527552,0.739409,0.774467,74.6570796460177
12.0,1.3804,0.01916,-0.0204,1.583316,0.763562,0.752467,72.04592901878915
12.5,1.409,0.02036,-0.0173,1.639079,0.787348,0.729869,69.20432220039292
13.0,1.4356,0.02174,-0.0143,1.694843,0.810751,0.706769,66.03495860165593
13.5,1.4584,0.02336,-0.0113,1.750607,0.833459,0.681396,62.43150684931507
14.0,1.4781,0.0253,-0.0084,1.80637,0.85555,0.65475,58.42292490118577
14.5,1.4939,0.0276,-0.0057,1.862134,0.876849,0.626267,54.1268115942029
15.0,1.5061,0.03033,-0.0033,1.917897,0.897356,0.596491,49.65710517639301
15.5,1.5147,0.03354,-0.0013,1.973661,0.917016,0.565643,45.16100178890876
16.0,1.5171,0.03736,0.0003,2.029424,0.935265,0.531764,40.607601713062095
16.5,1.5135,0.04207,0.0013,2.085188,0.95201,0.4955,35.97575469455669
17.0,1.5025,0.04777,0.0016,2.140951,0.966799,0.456245,31.452794640988067
17.5,1.4875,0.05405,0.0012,2.196715,0.980158,0.417031,27.52081406105458
18.0,1.4576,0.0624,-0.0003,2.252479,0.989337,0.370713,23.35897435897436
18.5,1.4329,0.07036,-0.0025,2.308242,0.998772,0.33153,20.365264354747016
19.0,1.4054,0.07886,-0.0056,2.364006,1.006503,0.293846,17.82145574435709
19.5,1.3897,0.08597,-0.0086,2.419769,1.016574,0.265912,16.164941258578573
20.0,1.3641,0.09483,-0.0134,2.475533,1.3641,0.0,14.38468838975008
