alpha,CL,CD,CM,CL_ATT,CL_SEP,F_ST,CL_CD
-15.0,-1.2437,0.02532,-0.0715,-1.427916,-0.688433,0.750886,-49.11927330173776
-14.5,-1.2398,0.02308,-0.0665,-1.372152,-0.66823,0.811979,-53.71750433275563
-14.0,-1.2346,0.02153,-0.0595,-1.316389,-0.647468,0.87773,-57.343241987923825
-13.5,-1.2205,0.02021,-0.0532,-1.260625,-0.625174,0.936855,-60.39089559623949
-13.0,-1.1758,0.01878,-0.0528,-1.204862,-0.598731,0.952054,-62.60915867944621
-12.5,-1.1241,0.01753,-0.0534,-1.149098,-0.571372,0.95673,-64.12435824301198
-12.0,-1.0705,0.01609,-0.0543,-1.093335,-0.543767,0.95845,-66.53200745804848
-11.5,-1.0138,0.01515,-0.0554,-1.037571,-0.515762,0.954445,-66.91749174917491
-11.0,-0.9581,0.01438,-0.0561,-0.981807,-0.487886,0.952002,-66.62726008344923
-10.5,-0.8983,0.01367,-0.0575,-0.926044,-0.459474,0.940536,-65.71324067300658
-10.0,-0.8462,0.01304,-0.0571,-0.87028,-0.432066,0.945049,-64.89263803680981
-9.5,-0.7897,0.01246,-0.0575,-0.814517,-0.404084,0.939535,-63.378812199036915
-9.0,-0.7376,0.01194,-0.0569,-0.758753,-0.376676,0.944636,-61.775544388609724
-8.5,-0.6839,0.01145,-0.0565,-0.70299,-0.349059,0.946064,-59.72925764192139
-8.0,-0.6319,0.01094,-0.0557,-0.647226,-0.321663,0.952924,-57.76051188299817
-7.5,-0.5794,0.01041,-0.0551,-0.591463,-0.2942,0.959421,-55.65802113352545
-7.0,-0.5257,0.01003,-0.0546,-0.535699,-0.266582,0.962845,-52.41276171485543
-6.5,-0.4709,0.00968,-0.0543,-0.479936,-0.238822,0.962526,-48.646694214876035
-6.0,-0.4175,0.00931,-0.0538,-0.424172,-0.211242,0.968666,-44.84425349087003
-5.5,-0.3626,0.00903,-0.0535,-0.368408,-0.183469,0.968593,-40.15503875968992
-5.0,-0.3076,0.00878,-0.0532,-0.312645,-0.155684,0.967859,-35.03416856492027
-4.5,-0.2528,0.00852,-0.0529,-0.256881,-0.127924,0.968351,-29.67136150234742
-4.0,-0.1973,0.00833,-0.0527,-0.201118,-0.100075,0.962216,-23.68547418967587
